Metric,Treatment,Farm,Temperature,Day,K
CP,weekly flushing,B,17.5,30,0.0379075947714736
CP,weekly flushing,B,17.5,90,0.00818858381685877
NDF,weekly flushing,B,17.5,30,0.00934969843300383
NDF,weekly flushing,B,17.5,90,0.00446062401435864
VS,weekly flushing,B,17.5,14,-0.00326225516072178
VS,weekly flushing,B,17.5,30,0.00692126506819962
VS,weekly flushing,B,17.5,90,0.00370600066601411
Lipids,weekly flushing,B,17.5,30,0.00330254161102442
Lipids,weekly flushing,B,17.5,90,-0.000549650328178937
Hemicellulose,weekly flushing,B,17.5,30,0.00908039926261018
Hemicellulose,weekly flushing,B,17.5,90,0.00361114124895202
Cellulose,weekly flushing,B,17.5,30,0.0143812070468591
Cellulose,weekly flushing,B,17.5,90,0.00904845268282186
TS,weekly flushing,B,17.5,14,-0.00392241045851275
TS,weekly flushing,B,17.5,30,0.00360787935024367
TS,weekly flushing,B,17.5,90,0.00184660390136804
CP,control,B,25,14,0.0375751987041025
CP,control,B,25,30,0.015091331569491
CP,control,B,25,90,0.0108805978731502
NDF,control,B,25,30,0.0201898736681427
NDF,control,B,25,90,0.00659899974244647
VS,control,B,25,14,0.00646634855803419
VS,control,B,25,30,0.00980631057643482
VS,control,B,25,90,0.00304160594072987
Lipids,control,B,25,30,0.00350886509081985
Lipids,control,B,25,90,-0.000861110824198575
Hemicellulose,control,B,25,30,0.0173193747876731
Hemicellulose,control,B,25,90,0.00483489190394196
Cellulose,control,B,25,30,0.0311031423020275
Cellulose,control,B,25,90,0.0123961656955945
TS,control,B,25,14,0.00139061285295826
TS,control,B,25,30,0.00513980962112016
TS,control,B,25,90,0.00164456127197084
CP,control,B,25,14,0.0872132537636188
CP,control,B,25,30,0.0242811011554103
CP,control,B,25,90,0.011138110753373
NDF,control,B,25,30,0.0106607173916509
NDF,control,B,25,90,0.00406474866440772
VS,control,B,25,14,0.00370992533691466
VS,control,B,25,30,0.0084643521132721
VS,control,B,25,90,0.00340969399605153
Lipids,control,B,25,30,0.00250619680520772
Lipids,control,B,25,90,0.000556675079612869
Hemicellulose,control,B,25,30,0.00932787384758441
Hemicellulose,control,B,25,90,0.00328941938299436
Cellulose,control,B,25,30,0.0151526279103886
Cellulose,control,B,25,90,0.00542640613530216
TS,control,B,25,14,0.000220613805058215
TS,control,B,25,30,0.00435855658056447
TS,control,B,25,90,0.00183422146082373
CP,weekly flushing,B,25,14,0.137892522850851
CP,weekly flushing,B,25,30,0.0276451482988911
CP,weekly flushing,B,25,90,0.00796339103064477
NDF,weekly flushing,B,25,30,0.0168657923871853
NDF,weekly flushing,B,25,90,0.00621932216581442
